Rank,Word,Part of speech,Frequency,Dispersion,Know
148,own,d,240452.0,0.98,1.0
163,group,n,229435.0,0.93,1.0
180,against,i,204379.0,0.98,1.0
231,area,n,165812.0,0.95,1.0
264,service,n,146122.0,0.94,1.0
273,hour,n,138955.0,0.96,1.0
278,political,j,144437.0,0.92,1.0
280,among,i,138192.0,0.94,1.0
288,law,n,133706.0,0.95,1.0
293,include,v,133563.0,0.93,1.0
297,community,n,133057.0,0.93,1.0
301,once,r,126203.0,0.97,1.0
302,white,j,126760.0,0.96,1.0
303,least,r,123961.0,0.98,1.0
304,president,n,134203.0,0.9,1.0
311,several,d,124039.0,0.97,1.0
315,information,n,127331.0,0.94,1.0
319,lead,v,122691.0,0.97,1.0
320,social,j,132899.0,0.89,1.0
322,whether,c,121921.0,0.96,1.0
363,research,n,114802.0,0.9,1.0
378,across,i,105559.0,0.96,1.0
385,toward,i,105984.0,0.94,1.0
389,policy,n,107601.0,0.92,1.0
392,process,n,107341.0,0.91,1.0
394,including,i,103650.0,0.94,1.0
395,consider,v,101987.0,0.96,1.0
396,appear,v,100671.0,0.97,1.0
397,actually,r,105155.0,0.92,1.0
402,serve,v,99660.0,0.95,1.0
405,send,v,96613.0,0.97,1.0
406,expect,v,95566.0,0.98,1.0
408,sense,n,95896.0,0.97,1.0
411,fall,v,96908.0,0.95,1.0
413,nation,n,97212.0,0.95,1.0
419,course,r,96224.0,0.95,1.0
422,behind,i,95047.0,0.93,1.0
424,local,j,92970.0,0.95,1.0
427,remain,v,91319.0,0.96,1.0
428,effect,n,95216.0,0.92,1.0
433,control,n,90301.0,0.94,1.0
434,raise,v,87036.0,0.98,1.0
440,field,n,87243.0,0.96,1.0
443,former,d,88930.0,0.94,1.0
444,sell,v,87865.0,0.95,1.0
445,major,j,87487.0,0.95,1.0
447,require,v,89280.0,0.93,1.0
448,along,i,84926.0,0.97,1.0
449,development,n,91995.0,0.9,1.0
451,report,v,88138.0,0.93,1.0
452,role,n,88666.0,0.92,1.0
454,economic,j,90392.0,0.91,1.0
455,effort,n,86473.0,0.95,1.0
457,decide,v,84035.0,0.97,1.0
458,rate,n,87224.0,0.94,1.0
460,possible,j,85084.0,0.96,1.0
462,drug,n,86231.0,0.94,1.0
466,voice,n,89379.0,0.9,1.0
468,whole,j,83756.0,0.96,1.0
472,pull,v,87243.0,0.91,1.0
475,military,j,85152.0,0.93,1.0
477,report,n,83174.0,0.95,1.0
480,decision,n,82429.0,0.95,1.0
481,explain,v,80797.0,0.97,1.0
485,develop,v,84835.0,0.92,1.0
487,relationship,n,84549.0,0.92,1.0
488,carry,v,79513.0,0.97,1.0
489,town,n,79821.0,0.97,1.0
494,federal,j,81826.0,0.94,1.0
495,break,v,79310.0,0.97,1.0
499,receive,v,80250.0,0.95,1.0
501,international,j,81610.0,0.93,1.0
504,full,j,77547.0,0.97,1.0
507,season,n,83743.0,0.89,1.0
508,society,n,81192.0,0.92,1.0
511,director,n,79813.0,0.93,1.0
513,position,n,77124.0,0.96,1.0
516,especially,r,76304.0,0.96,1.0
517,record,n,77509.0,0.94,1.0
518,pick,v,77197.0,0.95,1.0
521,special,j,75298.0,0.97,1.0
523,ground,n,74713.0,0.97,1.0
524,form,n,78493.0,0.92,1.0
525,support,v,76544.0,0.94,1.0
526,event,n,75559.0,0.95,1.0
527,official,n,79026.0,0.91,1.0
531,center,n,74559.0,0.96,1.0
532,couple,n,74871.0,0.96,1.0
537,base,v,75887.0,0.93,1.0
538,activity,n,77980.0,0.9,1.0
542,court,n,74112.0,0.94,1.0
543,produce,v,74169.0,0.94,1.0
551,cost,n,73512.0,0.94,1.0
552,industry,n,73055.0,0.94,1.0
553,figure,n,74858.0,0.92,1.0
562,quite,r,69966.0,0.96,1.0
568,recent,j,70685.0,0.94,1.0
573,patient,n,72217.0,0.91,1.0
578,certain,j,67228.0,0.97,1.0
584,simply,r,66712.0,0.97,1.0
588,step,n,66232.0,0.97,1.0
592,attention,n,65271.0,0.97,1.0
593,draw,v,65198.0,0.97,1.0
594,film,n,66724.0,0.95,1.0
595,Republican,n,71611.0,0.88,1.0
597,source,n,66862.0,0.94,1.0
600,organization,n,67278.0,0.93,1.0
602,cause,v,64531.0,0.97,1.0
606,century,n,65667.0,0.94,1.0
607,evidence,n,65360.0,0.94,1.0
612,culture,n,67128.0,0.91,1.0
613,billion,m,65243.0,0.93,1.0
616,energy,n,64139.0,0.94,1.0
617,period,n,64534.0,0.93,1.0
618,course,n,64012.0,0.94,1.0
621,realize,v,61732.0,0.97,1.0
623,available,j,63187.0,0.94,1.0
624,plant,n,63476.0,0.93,1.0
625,likely,j,63002.0,0.94,1.0
626,opportunity,n,62422.0,0.95,1.0
627,term,n,62962.0,0.94,1.0
630,condition,n,63489.0,0.93,1.0
633,single,j,60072.0,0.97,1.0
634,rule,n,61062.0,0.95,1.0
636,administration,n,62071.0,0.93,1.0
639,Congress,n,62841.0,0.92,1.0
641,campaign,n,64172.0,0.9,1.0
642,material,n,62440.0,0.92,1.0
646,economy,n,60990.0,0.93,1.0
647,medical,j,59424.0,0.96,1.0
649,church,n,59466.0,0.96,1.0
652,risk,n,60432.0,0.94,1.0
653,current,j,61252.0,0.92,1.0
657,involve,v,59542.0,0.94,1.0
658,defense,n,59701.0,0.94,1.0
660,increase,v,60442.0,0.93,1.0
661,security,n,58914.0,0.95,1.0
664,certainly,r,59739.0,0.93,1.0
665,west,n,58169.0,0.95,1.0
666,sport,n,59006.0,0.94,1.0
667,board,n,58436.0,0.95,1.0
668,seek,v,58495.0,0.94,1.0
669,per,i,59432.0,0.93,1.0
670,subject,n,61397.0,0.9,1.0
671,officer,n,57617.0,0.96,1.0
672,private,j,57248.0,0.96,1.0
673,rest,n,56714.0,0.97,1.0
674,behavior,n,62625.0,0.88,1.0
675,deal,v,57462.0,0.96,1.0
676,performance,n,59909.0,0.92,1.0
677,fight,v,56886.0,0.96,1.0
678,throw,v,57784.0,0.95,1.0
682,goal,n,58728.0,0.93,1.0
686,author,n,58300.0,0.93,1.0
687,fill,v,56915.0,0.95,1.0
688,represent,v,58744.0,0.92,1.0
689,focus,v,57177.0,0.94,1.0
691,drop,v,56448.0,0.95,1.0
693,blood,n,56351.0,0.95,1.0
694,upon,i,57033.0,0.94,1.0
695,agency,n,56954.0,0.94,1.0
700,recently,r,55992.0,0.95,1.0
702,reduce,v,57029.0,0.93,1.0
703,sound,n,56828.0,0.94,1.0
708,movement,n,56201.0,0.94,1.0
711,share,v,54010.0,0.97,1.0
713,common,j,55940.0,0.93,1.0
716,natural,j,55526.0,0.94,1.0
717,race,n,54838.0,0.95,1.0
718,concern,n,55203.0,0.94,1.0
719,series,n,54549.0,0.95,1.0
720,significant,j,58947.0,0.88,1.0
721,similar,j,55901.0,0.92,1.0
726,response,n,56342.0,0.91,1.0
728,rise,v,53542.0,0.95,1.0
730,factor,n,57612.0,0.89,1.0
731,decade,n,53727.0,0.95,1.0
732,article,n,54871.0,0.93,1.0
733,shoot,v,53038.0,0.95,1.0
739,scene,n,51248.0,0.97,1.0
740,stock,n,54305.0,0.91,1.0
741,career,n,52101.0,0.95,1.0
742,despite,i,51526.0,0.96,1.0
745,thus,r,57039.0,0.87,1.0
746,treatment,n,53390.0,0.92,1.0
749,exactly,r,52685.0,0.93,1.0
750,protect,v,50649.0,0.97,1.0
751,approach,n,53980.0,0.91,1.0
757,occur,v,52768.0,0.93,1.0
758,media,n,51798.0,0.94,1.0
763,individual,n,54738.0,0.89,1.0
765,quality,n,52224.0,0.93,1.0
766,pressure,n,50773.0,0.96,1.0
767,accept,v,49952.0,0.97,1.0
770,resource,n,53398.0,0.9,1.0
771,identify,v,53484.0,0.9,1.0
774,determine,v,52130.0,0.92,1.0
775,prepare,v,49208.0,0.98,1.0
776,disease,n,51211.0,0.94,1.0
779,argue,v,51013.0,0.94,1.0
781,particularly,r,50329.0,0.95,1.0
782,amount,n,49944.0,0.95,1.0
783,ability,n,51476.0,0.93,1.0
784,staff,n,50177.0,0.95,1.0
785,recognize,v,50042.0,0.95,1.0
786,indicate,v,53215.0,0.89,1.0
787,character,n,49530.0,0.96,1.0
788,growth,n,50904.0,0.93,1.0
790,degree,n,50612.0,0.94,1.0
791,wonder,v,50875.0,0.93,1.0
792,attack,n,50898.0,0.93,1.0
794,region,n,50914.0,0.93,1.0
798,training,n,49997.0,0.93,1.0
800,trade,n,49696.0,0.94,1.0
801,deal,n,48975.0,0.95,1.0
802,election,n,51322.0,0.91,1.0
804,physical,j,51451.0,0.9,1.0
805,lay,v,49358.0,0.94,1.0
806,general,j,49657.0,0.93,1.0
808,standard,n,49876.0,0.93,1.0
809,bill,n,49011.0,0.94,1.0
811,fail,v,47503.0,0.97,1.0
812,outside,i,46628.0,0.98,1.0
813,arrive,v,47435.0,0.97,1.0
814,analysis,n,53840.0,0.85,1.0
815,benefit,n,48594.0,0.94,1.0
818,forward,r,47877.0,0.95,1.0
819,lawyer,n,47853.0,0.95,1.0
820,present,v,49659.0,0.92,1.0
821,section,n,49764.0,0.91,1.0
822,environmental,j,51192.0,0.88,1.0
825,skill,n,50431.0,0.9,1.0
827,PM,r,54765.0,0.82,1.0
828,professor,n,46575.0,0.97,1.0
829,operation,n,47276.0,0.95,1.0
830,financial,j,47803.0,0.94,1.0
831,crime,n,48010.0,0.93,1.0
832,stage,n,46346.0,0.97,1.0
834,compare,v,48094.0,0.93,1.0
835,authority,n,47309.0,0.94,1.0
838,sort,n,47086.0,0.95,1.0
847,strategy,n,49126.0,0.9,1.0
852,force,v,44931.0,0.97,1.0
856,democratic,j,47299.0,0.92,1.0
862,various,j,46777.0,0.92,1.0
863,rather,r,44934.0,0.96,1.0
866,executive,n,47338.0,0.91,1.0
871,entire,j,43997.0,0.98,1.0
877,claim,v,44259.0,0.97,1.0
879,remove,v,44683.0,0.96,1.0
883,sound,v,45311.0,0.94,1.0
885,network,n,45122.0,0.94,1.0
886,legal,j,44820.0,0.95,1.0
887,religious,j,46425.0,0.91,1.0
889,form,v,44646.0,0.95,1.0
890,final,j,43589.0,0.97,1.0
891,main,j,43707.0,0.97,1.0
892,science,n,45726.0,0.92,1.0
894,memory,n,43531.0,0.97,1.0
898,cell,n,44831.0,0.94,1.0
899,establish,v,45921.0,0.91,1.0
901,trial,n,44489.0,0.94,1.0
902,expert,n,43898.0,0.95,1.0
904,spring,n,44085.0,0.95,1.0
905,firm,n,44704.0,0.93,1.0
906,Democrat,n,46905.0,0.88,1.0
908,visit,v,42941.0,0.96,1.0
911,avoid,v,42890.0,0.96,1.0
912,imagine,v,43487.0,0.95,1.0
914,huge,j,42582.0,0.96,1.0
915,ball,n,43512.0,0.94,1.0
921,theory,n,45553.0,0.9,1.0
922,impact,n,43782.0,0.93,1.0
923,respond,v,42139.0,0.96,1.0
924,statement,n,42941.0,0.94,1.0
925,maintain,v,43493.0,0.93,1.0
926,charge,n,42353.0,0.95,1.0
927,popular,j,42399.0,0.95,1.0
928,traditional,j,43681.0,0.92,1.0
929,onto,i,43538.0,0.92,1.0
930,reveal,v,42605.0,0.94,1.0
931,direction,n,41280.0,0.97,1.0
932,weapon,n,43158.0,0.93,1.0
933,employee,n,42824.0,0.93,1.0
934,cultural,j,45673.0,0.87,1.0
935,contain,v,42542.0,0.94,1.0
936,peace,n,42273.0,0.94,1.0
937,head,v,41658.0,0.95,1.0
939,base,n,41154.0,0.96,1.0
940,pain,n,41350.0,0.96,1.0
941,apply,v,42391.0,0.93,1.0
