,Rank,Word,Part of speech,Frequency,Dispersion,Know
0,1,the,a,22038615.0,0.98,
1,2,be,v,12545825.0,0.97,
2,3,and,c,10741073.0,0.99,
3,4,of,i,10343885.0,0.97,
4,5,a,a,10144200.0,0.98,
5,6,in,i,6996437.0,0.98,
6,7,to,t,6332195.0,0.98,
7,8,have,v,4303955.0,0.97,
8,9,to,i,3856916.0,0.99,
9,10,it,p,3872477.0,0.96,
10,11,I,p,3978265.0,0.93,
11,12,that,c,3430996.0,0.97,
12,13,for,i,3281454.0,0.98,
13,14,you,p,3081151.0,0.92,
14,15,he,p,2909254.0,0.94,
15,16,with,i,2683014.0,0.99,
16,17,on,i,2485306.0,0.99,
17,18,do,v,2573587.0,0.95,
18,19,say,v,1915138.0,0.95,
19,20,this,d,1885366.0,0.96,
20,21,they,p,1865580.0,0.96,
21,22,at,i,1767638.0,0.98,
22,23,but,c,1776767.0,0.97,
23,24,we,p,1820935.0,0.94,
24,25,his,a,1801708.0,0.95,
25,26,from,i,1635914.0,0.99,
26,27,that,d,1712406.0,0.94,
27,28,not,x,1638830.0,0.98,
28,29,n't,x,1619007.0,0.97,
29,30,by,i,1490548.0,0.96,
30,31,she,p,1484869.0,0.91,
31,32,or,c,1379320.0,0.97,
32,33,as,c,1296879.0,0.98,
33,34,what,d,1181023.0,0.94,
34,35,go,v,1151045.0,0.93,
35,36,their,a,1083029.0,0.97,
36,37,can,v,1022775.0,0.98,
37,38,who,p,1018283.0,0.97,
38,39,get,v,992596.0,0.94,
39,40,if,c,933542.0,0.97,
40,41,would,v,925515.0,0.97,
41,42,her,a,969591.0,0.91,
42,43,all,d,892102.0,0.98,
43,44,my,a,919821.0,0.93,
44,45,make,v,857168.0,0.98,
45,46,about,i,874406.0,0.96,
46,47,know,v,892535.0,0.93,
47,48,will,v,824568.0,0.97,
48,49,as,i,829018.0,0.95,
49,50,up,r,795534.0,0.95,
50,51,one,m,768232.0,0.98,
51,52,time,n,764657.0,0.98,
52,53,there,e,784528.0,0.96,
53,54,year,n,769254.0,0.96,
54,55,so,r,756550.0,0.95,
55,56,think,v,772787.0,0.91,
56,57,when,c,678626.0,0.98,
57,58,which,d,685982.0,0.96,
58,59,them,p,677870.0,0.97,
59,60,some,d,674193.0,0.98,
60,61,me,p,709623.0,0.92,
61,62,people,n,691468.0,0.95,
62,63,take,v,670745.0,0.97,
63,64,out,r,678603.0,0.96,
64,65,into,i,668172.0,0.97,
65,66,just,r,677711.0,0.94,
66,67,see,v,663645.0,0.96,
67,68,him,p,677707.0,0.92,
68,69,your,a,659622.0,0.94,
69,70,come,v,628254.0,0.95,
70,71,could,v,617932.0,0.96,
71,72,now,r,605997.0,0.94,
72,73,than,c,579757.0,0.97,
73,74,like,i,568850.0,0.96,
74,75,other,j,547799.0,0.97,
75,76,how,r,538893.0,0.97,
76,77,then,r,543977.0,0.95,
77,78,its,a,539719.0,0.96,
78,79,our,a,525107.0,0.97,
79,80,two,m,511027.0,0.99,
80,81,more,r,517536.0,0.97,
81,82,these,d,513864.0,0.95,
82,83,want,v,514972.0,0.95,
83,84,way,n,470401.0,0.98,
84,85,look,v,491707.0,0.93,
85,86,first,m,463566.0,0.98,
86,87,also,r,464606.0,0.96,
87,88,new,j,435993.0,0.97,
88,89,because,c,438539.0,0.96,
89,90,day,n,432773.0,0.97,
90,91,more,d,420170.0,0.97,
91,92,use,v,420781.0,0.96,
92,93,no,a,402222.0,0.98,
93,94,man,n,409760.0,0.95,
94,95,find,v,395203.0,0.98,
95,96,here,r,412315.0,0.93,
96,97,thing,n,400724.0,0.94,
97,98,give,v,384503.0,0.98,
98,99,many,d,385348.0,0.97,
99,100,well,r,411776.0,0.91,
100,101,only,r,379574.0,0.98,
101,102,those,d,378007.0,0.97,
102,103,tell,v,388155.0,0.94,
103,104,one,p,369553.0,0.98,
104,105,very,r,391821.0,0.92,
105,106,her,p,397950.0,0.89,
106,107,even,r,361067.0,0.98,
107,108,back,r,367844.0,0.94,
108,109,any,d,348100.0,0.98,
109,110,good,j,353973.0,0.96,
110,111,woman,n,341422.0,0.98,
111,112,through,i,340921.0,0.98,
112,113,us,p,351088.0,0.95,
113,114,life,n,333085.0,0.98,
114,115,child,n,333849.0,0.97,
115,116,there,r,333433.0,0.93,
116,117,work,v,318210.0,0.98,
117,118,down,r,329409.0,0.94,
118,119,may,v,324569.0,0.95,
119,120,after,i,311902.0,0.98,
120,121,should,v,310265.0,0.98,
121,122,call,v,308050.0,0.97,
122,123,world,n,303506.0,0.97,
123,124,over,i,300349.0,0.98,
124,125,school,n,304183.0,0.95,
125,126,still,r,296953.0,0.97,
126,127,try,v,294023.0,0.96,
127,128,in,r,285035.0,0.98,
128,129,as,r,281483.0,0.98,
129,130,last,m,289843.0,0.95,
130,131,ask,v,284632.0,0.96,
131,132,need,v,276744.0,0.98,
132,133,too,r,280396.0,0.96,
133,134,feel,v,275214.0,0.95,
134,135,three,m,266744.0,0.98,
135,136,when,r,268219.0,0.97,
136,137,state,n,272193.0,0.94,
137,138,never,r,262584.0,0.96,
138,139,become,v,259102.0,0.97,
139,140,between,i,264158.0,0.94,
140,141,high,j,255936.0,0.96,
141,142,really,r,263414.0,0.91,
142,143,something,p,254910.0,0.94,
143,144,most,r,246360.0,0.96,
144,145,another,d,240646.0,0.98,
145,146,much,d,244507.0,0.97,
146,147,family,n,243267.0,0.97,
147,148,own,d,240452.0,0.98,1.0
148,149,out,i,242443.0,0.96,
149,150,leave,v,240482.0,0.96,
150,151,put,v,237480.0,0.96,
151,152,old,j,236577.0,0.96,
152,153,while,c,234555.0,0.97,
153,154,mean,v,242198.0,0.93,
154,155,on,r,236980.0,0.95,
155,156,keep,v,231760.0,0.96,
156,157,student,n,255047.0,0.88,
157,158,why,r,235442.0,0.95,
158,159,let,v,240300.0,0.93,
159,160,great,j,225005.0,0.97,
160,161,same,d,222836.0,0.98,
161,162,big,j,227169.0,0.96,
162,163,group,n,229435.0,0.93,1.0
