index,Freq,Word
0,663,train
1,513,datum
2,509,are
3,488,chapter
4,470,feature
5,430,machine
6,420,algorithm
7,374,function
8,356,sample
9,317,label
10,285,classifier
11,284,cluster
12,278,regression
13,271,self
14,269,via
15,258,import
16,223,following
17,220,matrix
18,217,neural
19,216,linear
20,216,classification
21,210,predict
22,207,code
23,186,plot
24,177,fit
25,173,parameter
26,170,python
27,160,method
28,153,implement
29,149,logistic
30,141,error
31,133,vector
32,133,gradient
33,127,application
34,127,random
35,125,kernel
36,117,update
37,117,print
38,116,shape
39,116,variable
40,113,web
41,113,calculate
42,113,previous
43,110,accuracy
44,107,ensemble
45,107,technique
46,104,layer
47,103,column
48,101,score
49,100,input
50,100,array
51,98,scatter
52,96,regularization
53,96,define
54,94,text
55,94,compute
56,92,prediction
57,91,marker
58,89,execute
59,88,file
60,87,precede
61,87,document
62,86,concept
63,85,probability
64,85,def
65,84,transform
66,84,output
67,81,distance
68,80,review
69,80,ax
70,80,implementation
71,78,true
72,77,library
73,75,object
74,72,epoch
75,72,sum
76,72,artificial
77,72,tune
78,71,reduction
79,69,activation
80,69,alpha
81,67,target
82,67,descent
83,66,forest
84,66,dot
85,62,working
86,62,variance
87,62,obtain
88,62,component
89,61,scale
90,60,evaluate
91,59,positive
92,59,estimate
93,58,principal
94,58,coefficient
95,58,tour
96,58,axis
97,58,separate
98,58,selection
99,57,task
100,57,vote
101,56,map
102,56,combine
103,56,row
104,55,index
105,55,curve
106,54,app
107,54,standardize
108,54,select
109,53,log
110,53,hide
111,52,recognition
112,51,zero
113,50,correct
114,50,respective
115,50,dimensional
116,49,pipeline
117,48,typical
118,48,percent
119,48,average
120,48,flask
121,47,eta
122,47,evaluation
123,46,split
124,45,nonlinear
125,45,continuous
126,44,none
127,44,majority
128,44,supervise
129,44,assign
130,44,grid
131,44,furthermore
132,43,multiple
133,43,compress
134,43,legend
135,43,classify
136,43,subset
137,43,initialize
138,43,neuron
139,42,illustrate
140,41,search
141,41,bag
142,41,net
143,41,lower
144,40,sentiment
145,40,wine
146,40,database
147,40,introduce
148,40,efficient
149,40,iris
150,40,original
151,40,estimator
152,39,bias
153,38,equation
154,38,path
155,38,validation
156,38,basic
157,37,alternative
158,37,square
159,37,binary
160,36,don
161,36,summarize
162,36,setting
163,36,length
164,36,fold
165,36,topic
166,36,metric
167,35,flower
168,35,install
169,35,node
170,35,correspond
171,35,given
172,35,complex
173,35,consist
174,34,please
175,34,linkage
176,34,petal
177,34,collect
178,34,hierarchical
179,34,decrease
180,34,visualize
181,34,recommend
182,33,false
183,33,max
184,33,negative
185,33,subsection
186,32,assume
187,32,summary
188,32,missing
189,32,boundary
190,32,directory
191,32,optimization
192,32,refer
193,31,minimize
194,31,construct
195,31,entropy
196,31,generalization
197,31,frequency
198,31,predictive
199,31,user
200,31,neighbor
201,31,module
202,30,embed
203,30,content
204,30,adaptive
205,30,solve
206,30,unsupervised
207,30,default
208,30,unique
209,30,optimize
210,29,pickle
211,29,relative
212,29,version
213,29,integer
214,29,connect
215,29,euclidean
216,29,criterion
217,29,specify
218,29,panda
219,28,optimal
220,28,intuitive
221,28,convenient
222,28,load
223,28,combination
224,28,access
225,28,equal
226,27,gain
227,27,silhouette
228,27,additional
229,27,yield
230,27,learner
231,27,so-called
232,27,similarity
233,26,dimension
234,26,architecture
235,26,advantage
236,26,upper
237,26,complete
238,26,representation
239,26,threshold
240,26,instance
241,26,contrast
242,25,belong
243,25,download
244,25,transformation
245,25,unlabeled
246,25,publish
247,25,append
248,25,encode
249,25,width
250,25,separable
251,24,solution
252,24,convergence
253,24,feedback
254,24,essential
255,24,purpose
256,24,maximize
257,24,core
258,24,button
259,23,polynomial
260,23,shuffle
261,23,quadratic
262,23,title
263,23,minimum
264,23,practical
265,23,correlation
266,23,weak
267,22,server
268,22,sparse
269,22,perfect
270,22,further
271,22,software
272,22,impurity
273,22,package
274,21,trick
275,21,slight
276,21,attribute
277,21,categorical
278,21,direct
279,21,iteration
280,21,computational
281,21,command
282,21,residual
283,21,submit
284,21,membership
285,20,dealing
286,20,intercept
287,20,converge
288,20,key
289,20,address
290,20,explanatory
291,20,initial
292,20,pattern
293,20,digit
294,20,replace
295,20,fitting
296,20,penalty
297,19,maximum
298,19,appropriate
299,19,recall
300,19,relate
301,19,expensive
302,19,re
303,19,subplot
304,19,bootstrap
305,19,reshape
306,19,account
307,19,normalize
308,19,boost
309,19,gamma
310,19,generalize
311,19,unseen
312,19,strength
313,18,advance
314,18,explore
315,18,familiar
316,18,discussion
317,18,going
318,18,finding
319,18,compile
320,18,meaning
321,17,global
322,17,due
323,17,scenario
324,17,housing
325,17,intuition
326,17,total
327,17,derivative
328,17,script
329,17,convert
330,17,fuzzy
331,17,understanding
332,17,saw
333,17,template
334,17,stem
335,17,scope
336,17,otherwise
337,17,element
338,17,assumption
339,17,automatic
340,17,found
341,17,capture
342,17,online
343,16,noise
344,16,tool
345,16,website
346,16,beginning
347,16,two-dimensional
348,16,fig
349,16,brief
350,16,margin
351,16,context
352,16,incorrect
353,16,extraction
354,16,zip
355,16,distribution
356,15,tackle
357,15,versus
358,15,divide
359,15,writing
360,15,transformer
361,15,ordinal
362,15,replacement
363,15,excite
364,15,nest
365,15,generate
366,15,debug
367,15,outcome
368,15,fast
369,15,standardization
370,15,expression
371,15,click
372,14,multiply
373,14,archive
374,14,argument
375,14,being
376,14,robust
377,14,lasso
378,14,quick
379,14,regular
380,14,reinforcement
381,14,circle
382,14,pip
383,14,tutorial
384,14,symbol
385,14,heat
386,14,projection
387,14,procedure
388,14,addition
389,14,terminal
390,14,byte
391,14,sequential
392,14,sepal
393,14,string
394,14,handwritten
395,14,whereas
396,14,mathematical
397,14,complexity
398,14,holdout
399,14,distribute
400,14,render
401,13,fine-tune
402,13,especial
403,13,regularize
404,13,uniform
405,13,inverse
406,13,ratio
407,13,deviation
408,13,google
409,13,achieve
410,13,frequent
411,13,precision
412,13,ravel
413,13,float
414,13,higher
415,13,modify
416,13,request
417,13,therefore
418,13,hello
419,13,modern
420,13,notation
421,13,hyperbolic
422,13,algebra
423,13,dictionary
424,13,batch
425,13,tangent
426,12,item
427,12,documentation
428,12,repeat
429,12,doc
430,12,handle
431,12,simplicity
432,12,unfortunate
433,12,excellent
434,12,illustration
435,12,graph
436,12,stable
437,12,interpret
438,12,copy
439,12,lambda
440,12,normal
441,12,depend
442,12,emoticon
443,12,diagnose
444,12,introduction
445,12,norm
446,12,alcohol
447,12,derive
448,12,limit
449,12,vocabulary
450,12,extend
451,11,engineer
452,11,extreme
453,11,notice
454,11,classified
455,11,porter
456,11,statistical
457,11,importance
458,11,objective
459,11,seed
460,11,display
461,11,characteristic
462,11,mode
463,11,optional
464,11,depth
465,11,enumerate
466,11,nominal
467,11,
468,11,respect
469,11,propagation
470,11,numerical
471,11,computation
472,11,round
473,11,compression
474,11,storage
475,11,assess
476,11,making
477,11,col
478,11,probable
479,11,cannot
480,11,xi
481,11,loop
482,10,pair
483,10,erratum
484,10,ensure
485,10,density
486,10,surface
487,10,reading
488,10,multiplication
489,10,efficiency
490,10,link
491,10,splitting
492,10,actual
493,10,distortion
494,10,detect
495,10,stump
496,10,soft
497,10,entry
498,10,count
499,10,gray
500,10,post
501,10,locate
502,10,technical
503,10,independent
504,10,quantify
505,10,curse
506,10,pixel
507,10,absolute
508,10,category
509,10,slope
510,10,visualization
511,10,hue
512,10,utilize
513,9,description
514,9,flatten
515,9,proportion
516,9,university
517,9,resolution
518,9,conclude
519,9,latter
520,9,interpreter
521,9,concrete
522,9,tumor
523,9,signal
524,9,partial
525,9,static
526,9,notebook
527,9,protocol
528,9,developer
529,9,encourage
530,9,format
531,9,manual
532,9,confusion
533,9,simplify
534,9,sun
535,9,denote
536,9,verbose
537,9,constant
538,9,scalar
539,9,popularity
540,9,desire
541,9,effective
542,9,extract
543,9,eventual
544,9,graphical
545,9,satisfy
546,9,malignant
547,9,ridge
548,9,encounter
549,8,journey
550,8,elbow
551,8,repository
552,8,cancer
553,8,reader
554,8,route
555,8,recurrent
556,8,classic
557,8,option
558,8,mistake
559,8,superscript
560,8,exploratory
561,8,unzip
562,8,raw
563,8,browser
564,8,rank
565,8,relevant
566,8,feed
567,8,express
568,8,reference
569,8,experiment
570,8,editor
571,8,internet
572,8,serialize
573,8,spatial
574,8,analyze
575,8,opposite
576,8,session
577,8,drawing
578,8,ash
579,8,exist
580,8,deploy
581,8,stack
582,8,reward
583,8,improvement
584,8,exact
585,8,shine
586,8,sampling
587,8,token
588,8,ourselves
589,8,guide
590,8,sensitive
591,8,preface
592,8,math
593,8,interface
594,8,worth
595,8,date
596,8,engine
597,8,calling
598,8,grouping
599,8,breast
600,8,header
601,7,screenshot
602,7,macro
603,7,filter
604,7,explicit
605,7,reverse
606,7,prefer
607,7,clean
608,7,tend
609,7,analytical
610,7,underlie
611,7,compact
612,7,magic
613,7,turning
614,7,attach
615,7,fundamental
616,7,benign
617,7,sub
618,7,basis
619,7,root
620,7,complicate
621,7,prior
622,7,proceed
623,7,constraint
624,7,operator
625,7,spam
626,7,confuse
627,7,observe
628,7,identical
629,7,terminology
630,7,estimation
631,7,merge
632,7,framework
633,7,device
634,7,observation
635,7,taking
636,7,calculation
637,7,below
638,7,hardware
639,7,penalize
640,7,upload
641,7,normalization
642,7,suffer
643,7,height
644,7,proceeding
645,7,lazy
646,7,activate
647,7,cubic
648,7,disadvantage
649,7,opinion
650,7,interpolation
651,6,organize
652,6,purchase
653,6,block
654,6,unpack
655,6,measurement
656,6,experimentation
657,6,substantial
658,6,usage
659,6,indicator
660,6,regard
661,6,insert
662,6,mine
663,6,customer
664,6,visual
665,6,brain
666,6,iterative
667,6,irrelevant
668,6,grad
669,6,connection
670,6,ovum
671,6,detector
672,6,accurate
673,6,err
674,6,associate
675,6,fetch
676,6,mostly
677,6,ordinary
678,6,prevent
679,6,highlight
680,6,runner
681,6,simultaneous
682,6,exceed
683,6,modification
684,6,diagram
685,6,removal
686,6,attractive
687,6,pool
688,6,recap
689,6,cross
690,6,lab
691,6,recommendation
692,6,lasagna
693,6,insight
694,6,sweet
695,6,dissimilar
696,6,crucial
697,6,chain
698,6,prize
699,6,vary
700,6,weather
701,6,abs
702,6,id
703,6,i
704,6,momentum
705,6,border
706,6,attempt
707,6,arbitrary
708,6,operate
709,6,graphic
710,6,cursor
711,6,epsilon
712,6,overview
713,6,dummy
714,6,receiver
715,6,partition
716,6,syntax
717,6,acid
718,6,equivalent
719,6,plus
720,6,stratify
721,5,guarantee
722,5,dense
723,5,informative
724,5,decay
725,5,interval
726,5,eliminate
727,5,unable
728,5,cyan
729,5,cycle
730,5,intelligence
731,5,vertical
732,5,balance
733,5,symmetric
734,5,mark
735,5,sequence
736,5,contour
737,5,omit
738,5,mac
739,5,configure
740,5,parametric
741,5,radial
742,5,sparsity
743,5,tolerance
744,5,programmer
745,5,subcategory
746,5,slow
747,5,accumulate
748,5,prune
749,5,reliable
750,5,execution
751,5,spectral
752,5,inner
753,5,practitioner
754,5,progress
755,5,formulate
756,5,differentiation
757,5,pure
758,5,prominent
759,5,gap
760,5,conditional
761,5,fifth
762,5,rendering
763,5,desktop
764,5,dump
765,5,dive
766,5,consistent
767,5,calculus
768,5,condense
769,5,fisher
770,5,straightforward
771,5,broad
772,5,spread
773,5,intensity
774,5,odds
775,5,decomposition
776,5,intermediate
777,5,spectrum
778,5,triangle
779,5,anaconda
780,5,reflect
781,5,representative
782,5,researcher
783,5,suitable
784,5,aspect
785,5,impute
786,5,exercise
787,5,potential
788,5,collection
789,5,ha
790,5,immediate
791,5,convenience
792,5,clarity
793,5,urn
794,5,setup
795,5,master
796,5,ignore
797,5,validate
798,5,slack
799,5,empty
800,5,plurality
801,5,status
802,5,overshoot
803,5,active
804,5,uncommon
805,5,shrink
806,5,sentence
807,5,variant
808,5,fourth
809,5,permutation
810,5,leaf
811,5,accessible
812,5,one-dimensional
813,5,relevance
814,5,valuable
815,5,rec
816,5,approximate
817,5,hierarchy
818,5,publication
819,5,stream
820,5,journal
821,5,reasonable
822,5,concentric
823,5,bound
824,5,triangular
825,5,convention
826,5,extension
827,4,corner
828,4,align
829,4,instruction
830,4,tab
831,4,markup
832,4,agent
833,4,competition
834,4,belonging
835,4,expertise
836,4,receptive
837,4,scorer
838,4,streamline
839,4,median
840,4,spot
841,4,spherical
842,4,aggregate
843,4,match
844,4,mathematics
845,4,subgroup
846,4,except
847,4,cleaning
848,4,glimpse
849,4,reuse
850,4,impossible
851,4,discovery
852,4,subsequent
853,4,hi
854,4,comparison
855,4,applicable
856,4,symbolic
857,4,overcome
858,4,orange
859,4,ahead
860,4,dim
861,4,shift
862,4,unsigned
863,4,installer
864,4,downside
865,4,paperback
866,4,clone
867,4,micro
868,4,propose
869,4,fix
870,4,incremental
871,4,tot
872,4,sec
873,4,permanent
874,4,distinguish
875,4,discriminatory
876,4,introductory
877,4,corpus
878,4,adjust
879,4,alone
880,4,limitation
881,4,trend
882,4,demonstration
883,4,favorite
884,4,reload
885,4,chemical
886,4,solver
887,4,shall
888,4,heavy
889,4,scratch
890,4,latent
891,4,sufficient
892,4,dislike
893,4,speech
894,4,smooth
895,4,copyright
896,4,unbiased
897,4,denominator
898,4,intelligent
899,4,magnitude
900,4,arithmetic
901,4,scientific
902,4,specialize
903,4,release
904,4,abbreviate
905,4,overall
906,4,weakness
907,4,remind
908,4,straight
909,4,refresher
910,4,interpretation
911,4,separation
912,4,contact
913,4,formula
914,4,domain
915,4,upgrade
916,4,skip
917,4,toy
918,4,conceptual
919,4,beginner
920,4,rough
921,4,critical
922,4,restart
923,4,propagate
924,4,generator
925,4,commit
926,4,submission
927,4,fraction
928,4,principle
929,4,unless
930,4,installation
931,4,depict
932,4,contribute
933,4,equip
934,4,visible
935,4,volume
936,4,confirm
937,4,problematic
938,4,obvious
939,4,backward
940,4,leverage
941,3,feasible
942,3,continuum
943,3,transpose
944,3,shrinkage
945,3,species
946,3,folder
947,3,nowadays
948,3,jump
949,3,smart
950,3,convex
951,3,nor
952,3,frank
953,3,diagonal
954,3,cheap
955,3,favor
956,3,vast
957,3,detection
958,3,tradeoff
959,3,suboptimal
960,3,welcome
961,3,statistic
962,3,circular
963,3,snippet
964,3,wiki
965,3,grasp
966,3,noisy
967,3,speed
968,3,presence
969,3,verify
970,3,retrain
971,3,in-depth
972,3,dash
973,3,hypothesis
974,3,tip
975,3,capable
976,3,readability
977,3,mass
978,3,temporary
979,3,compiler
980,3,unroll
981,3,proper
982,3,foundation
983,3,precise
984,3,comment
985,3,reviewer
986,3,cohesion
987,3,imbalance
988,3,approximation
989,3,correlate
990,3,diagnosis
991,3,fair
992,3,username
993,3,dilute
994,3,likelihood
995,3,mad
996,3,association
997,3,loo
998,3,edition
999,3,ward
1000,3,toggle
1001,3,scientist
1002,3,reproduce
1003,3,overwhelm
1004,3,formal
1005,3,institute
1006,3,lunch
1007,3,polarity
1008,3,user-friendly
1009,3,cumulative
1010,3,broaden
1011,3,allocation
1012,3,indexer
1013,3,definition
1014,3,discard
1015,3,comprehensive
1016,3,elastic
1017,3,illustrative
1018,3,strict
1019,3,assemble
1020,3,infinity
1021,3,configuration
1022,3,discount
1023,3,aim
1024,3,placeholder
1025,3,literature
1026,3,state-of-the-art
1027,3,adapt
1028,3,parallel
1029,3,step-by-step
1030,3,greedy
1031,3,budget
1032,3,rewrite
1033,3,en
1034,3,subscript
